Voltage, Varactor Capacitance
0.65, 4.94545160606755E-11
0.66, 4.91141173363419E-11
0.67, 4.87306537418439E-11
0.68, 4.83998898009147E-11
0.69, 4.80272038208148E-11
0.7, 4.76600811956056E-11
0.71, 4.73433153489956E-11
0.72, 4.69862937909218E-11
0.73, 4.66344899875656E-11
0.74, 4.62877904529027E-11
0.75, 4.59460849682613E-11
0.76, 4.5609266465575E-11
0.77, 4.52772309156066E-11
0.78, 4.4949877220897E-11
0.79, 4.46271071132052E-11
0.8, 4.42693507089957E-11
0.81, 4.39560067895184E-11
0.82, 4.36469565454059E-11
0.83, 4.33042983338044E-11
0.84, 4.30040842574054E-11
0.85, 4.26711537583243E-11
0.86, 4.23794024925621E-11
0.87, 4.20557915505592E-11
0.88, 4.17369570016951E-11
0.89, 4.14574734575002E-11
0.9, 4.11473772560194E-11
0.91, 4.08417626468099E-11
0.92, 4.05405332468068E-11
0.93, 4.02435954170208E-11
0.94, 3.99508581655718E-11
0.95, 3.96622330548045E-11
0.96, 3.93776341122906E-11
0.97, 3.90660335206313E-11
0.98, 3.87896625454879E-11
0.99, 3.85170651246913E-11
1, 3.82185116611506E-11
1.01, 3.79536312740235E-11
1.02, 3.76634704261303E-11
1.03, 3.73775854556134E-11
1.04, 3.71238673245504E-11
1.05, 3.68458505176164E-11
1.06, 3.65718451549985E-11
1.07, 3.63017651186908E-11
1.08, 3.60355267381475E-11
1.09, 3.5773048703954E-11
1.1, 3.55142519851244E-11
1.11, 3.52590597498478E-11
1.12, 3.50073972895235E-11
1.13, 3.47345588150964E-11
1.14, 3.44900747413555E-11
1.15, 3.42249637661216E-11
1.16, 3.39873555764665E-11
1.17, 3.37296487276376E-11
1.18, 3.34756971985729E-11
1.19, 3.32480223788971E-11
1.2, 3.30010160242489E-11
1.21, 3.27575346019139E-11
1.22, 3.2517503277444E-11
1.23, 3.22808493197382E-11
1.24, 3.20475020276607E-11
1.25, 3.18173926597102E-11
1.26, 3.15699785948205E-11
1.27, 3.13464255605228E-11
1.28, 3.11060112243014E-11
1.29, 3.08887385894703E-11
1.3, 3.06550314374148E-11
1.31, 3.04437785369724E-11
1.32, 3.02165021016945E-11
1.33, 2.9992476114419E-11
1.34, 2.9771631432038E-11
1.35, 2.95539008586069E-11
1.36, 2.93392190772813E-11
1.37, 2.91275225850865E-11
1.38, 2.89187496303885E-11
1.39, 2.86958084410421E-11
1.4, 2.84929351812428E-11
1.41, 2.82762500790279E-11
1.42, 2.80790302759876E-11
1.43, 2.78683419504825E-11
1.44, 2.76606742004257E-11
1.45, 2.74716061556811E-11
1.46, 2.72695677827251E-11
1.47, 2.70703668038863E-11
1.48, 2.68739439590785E-11
1.49, 2.666545251429E-11
1.5, 2.64746173384157E-11
1.51, 2.62863879945408E-11
1.52, 2.60865330137202E-11
1.53, 2.59035483135432E-11
1.54, 2.57092235938453E-11
1.55, 2.55176766472993E-11
1.56, 2.53422472402949E-11
1.57, 2.5155892173121E-11
1.58, 2.49721466370003E-11
1.59, 2.47909563014188E-11
1.6, 2.45995992947721E-11
1.61, 2.44235354492512E-11
1.62, 2.42498690775397E-11
1.63, 2.40664033016487E-11
1.64, 2.38975501782578E-11
1.65, 2.37191344762502E-11
1.66, 2.35432496236072E-11
1.67, 2.3381326719517E-11
1.68, 2.32101848453885E-11
1.69, 2.30414214693996E-11
1.7, 2.28639734966942E-11
1.71, 2.26999714861481E-11
1.72, 2.25382014936684E-11
1.73, 2.23680561575255E-11
1.74, 2.22107572640478E-11
1.75, 2.20452824681096E-11
1.76, 2.18821435627217E-11
1.77, 2.17212915470027E-11
1.78, 2.15626787809397E-11
1.79, 2.1406258938472E-11
1.8, 2.12519869625004E-11
1.81, 2.1099819021735E-11
1.82, 2.09497124692898E-11
1.83, 2.07924365249133E-11
1.84, 2.06373924429078E-11
1.85, 2.04934652389396E-11
1.86, 2.03426204531742E-11
1.87, 2.01938728483388E-11
1.88, 2.00471791062069E-11
1.89, 1.99024970932307E-11
1.9, 1.97514515542618E-11
1.91, 1.96107834989803E-11
1.92, 1.94720052354309E-11
1.93, 1.93270814473422E-11
1.94, 1.91841904798075E-11
1.95, 1.90432899824625E-11
1.96, 1.89043387730316E-11
1.97, 1.87672967973322E-11
1.98, 1.86321250909118E-11
1.99, 1.84987857422376E-11
2, 1.83599857825208E-11
2.01, 1.82302981705124E-11
2.02, 1.80952738986126E-11
2.03, 1.79621290961566E-11
2.04, 1.78376903921318E-11
2.05, 1.7701323582744E-11
2.06, 1.75735883345883E-11
2.07, 1.74475834107213E-11
